Pieza;Tipo;Ubicación;Estado de conservación;Valor asegurado;Prestado a;Año de alta;Observaciones
Cruz de guía de plata de ley;Orfebrería;Casa hermandad — Sala capitular;Bueno;18.000,00 €;;1998;Restaurada en 2019.
Palio de la Virgen (bambalinas bordadas);Textil;Camarín;Bueno;42.000,00 €;;2004;
Juego de candelabros de cola;Orfebrería;Casa hermandad — Almacén;Regular;9.500,00 €;;1985;Falta plateado en dos piezas.
Túnicas de nazareno (lote de 40);Túnica;Casa hermandad — Ropero;Bueno;6.000,00 €;;2015;Revisar cíngulos antes de la salida.
Senatus romano;Enser de culto;Casa hermandad — Sala capitular;Necesita restauración;3.200,00 €;;1972;Grietas en el asta.
Estandarte corporativo;Textil;Cedido a la Agrupación;Bueno;4.100,00 €;Agrupación de Cofradías (exposición);2010;Devolución tras la exposición.
Manto de la Virgen (terciopelo bordado en oro);Textil;Camarín;regular;65.000,00 €;;1955;Consolidar bordado.
Banco de la presidencia;Mobiliario;Casa hermandad — Almacén;mal;;;1978;Sin asegurar, tasación pendiente.
Libro de reglas (edición de 1943);Documentación;Archivo;Regular;;;1943;Consultar antes de manipular.
Juego de varas de presidencia;Orfebrería;Casa hermandad — Almacén;Bueno;5.200,00 €;;14/09/1990;
