Fecha;Concepto;Partida;Entradas;Salidas;Cuenta
05/01/2026;Cuotas de enero;Cuotas Hermanos/as;1.240,00;;Cuenta bancaria
08/01/2026;Donativo de un hermano;Donativos, Ofrendas y Cepillos;300,00;;Cuenta bancaria
12/01/2026;Recibo de la luz de la casa hermandad;Mantenimiento;;186,40;Cuenta bancaria
15/01/2026;Flores para el altar de cultos;Cultos Internos;;420,00;Caja
20/01/2026;Restauración de un candelabro;Restauraciones;;950,00;Cuenta bancaria
22/01/2026;Subvención del ayuntamiento;Subvenciones;800,00;;Cuenta bancaria
28/01/2026;Seguro de responsabilidad civil;Gastos varios menores;;275,00;Cuenta bancaria
03/02/2026;Cepillo de la capilla;Donativos, Ofrendas y Cepillos;412,35;;Caja
10/02/2026;Imprenta de las papeletas de sitio;Secretaría;;1.180,00;Cuenta bancaria
14/02/2026;Cera para la estación de penitencia;Cultos Externos;;2.340,50;Cuenta bancaria
18/02/2026;Autobuses del traslado a la parroquia;Traslados;;340,00;Caja
20/02/2026;Lotería de Navidad (liquidación);Otros ingresos;2.115,00;;Cuenta bancaria
